"","name_of_city","state_code","state_name","dist_code","population_total","population_male","population_female","X0.6_population_total","X0.6_population_male","X0.6_population_female","literates_total","literates_male","literates_female","sex_ratio","child_sex_ratio","effective_literacy_rate_total","effective_literacy_rate_male","effective_literacy_rate_female","location","total_graduates","male_graduates","female_graduates"
"376","Pathankot",3,"PUNJAB",1,205,77833,70524,108,384,6008,119483,64673,54810,906,802,88.6,91.94,84.96,"32.2643375,75.6421121",24038,11974,12064
"377","Patiala",3,"PUNJAB",14,425,215606,189558,383,145,18097,316093,174291,141802,879,859,86.36,89.59,82.7,"30.3397809,76.3868797",86697,43389,43308
"378","Patna",10,"BIHAR",28,247,894158,789042,243,6,88288,1264523,694580,569943,882,864,84.71,87.71,81.33,"25.5940947,85.1375645",307603,199207,108396
"379","Pilibhit",9,"UTTAR PRADESH",20,161,68855,61573,49,299,5629,88119,48060,40059,894,917,74.26,76.63,71.61,"28.6207939,79.8128649",17508,9986,7522
"380","Pimpri Chinchwad",27,"MAHARASHTRA",25,257,945953,783406,271,35,100274,1374986,784984,590002,828,861,90.9,94.63,86.37,"18.6297811,73.7997094",249581,141573,108008
"381","Pithampur",23,"MADHYA PRADESH",21,144,70577,55522,262,27,9566,87417,54030,33387,787,880,82.73,90.49,72.65,"22.613252,75.6822899",5150,3657,1493
"382","Porbandar",24,"GUJARAT",11,215,78490,73646,123,379,6452,119545,65171,54374,938,870,86.46,91.69,80.92,"21.6417069,69.6292654",9853,5671,4182
"383","Port Blair",35,"ANDAMAN & NICOBAR ISLANDS",3,7,53247,47361,476,238,4506,81908,44908,37000,889,929,89.76,92.79,86.34,"11.6233774,92.7264828",12420,6717,5703
"384","Proddatur",28,"ANDHRA PRADESH",20,235,81368,81448,162,407,7517,115011,63111,51900,1001,940,78.08,86.02,70.2,"14.7491864,78.5531577",18151,11844,6307
"385","Puducherry",34,"PUDUCHERRY",2,347,118205,123568,277,31,11167,195861,100419,95442,1045,993,89.29,93.88,84.91,"11.9138598,79.8144722",37830,21086,16744
"386","Pudukkottai",33,"TAMIL NADU",20,99,58601,58614,20,264,5287,98054,50798,47256,1000,950,92.19,95.78,88.62,"10.379663,78.8208454",15104,8275,6829
"387","Pune",27,"MAHARASHTRA",25,392,1602137,1513294,357,115,153420,2556743,1361257,1195486,945,896,91.61,95.13,87.91,"18.5204303,73.8567437",656508,349022,307486
"388","Puri",21,"ORISSA",18,304,104267,96759,199,445,8061,164481,88504,75977,928,902,89.38,92.84,85.66,"19.8133822,85.8314655",27062,16978,10084
"389","Purnia",10,"BIHAR",9,371,148021,132526,389,146,19965,178381,100735,77646,895,947,74.48,79.36,68.98,"25.7771391,87.4752551",28193,19787,8406
"390","Puruliya",19,"WEST BENGAL",14,125,62520,58916,42,284,5614,90534,50276,40258,942,955,82.34,88.76,75.53,"23.3320779,86.365208",14793,9581,5212
"391","Rae Bareli",9,"UTTAR PRADESH",27,288,99844,91212,241,486,8980,142863,78519,64344,914,908,82.97,87.28,78.25,"26.2345298,81.2408689",34959,20169,14790
"392","Raichur",29,"KARNATAKA",5,341,117408,115048,323,77,13638,158452,86973,71479,980,955,77.47,84.34,70.49,"16.2120031,77.3439283",22445,14425,8020
"393","Raiganj",19,"WEST BENGAL",4,279,96589,87093,264,15,9971,133215,72475,60740,902,943,81.66,84.26,78.76,"25.6185295,88.1255837",16788,10419,6369
"394","Raigarh",22,"CHHATTISGARH",4,175,70234,66863,190,432,7939,105512,57679,47833,952,919,87.55,93.64,81.18,"21.8974003,83.3949632",20161,12214,7947
"395","Raipur",22,"CHHATTISGARH",11,10,519286,490801,72,312,59949,769593,420155,349438,945,929,86.9,92.39,81.1,"21.2513844,81.6296413",147194,84384,62810
"396","Rajahmundry",28,"ANDHRA PRADESH",14,407,169786,174117,338,92,14731,264653,136288,128365,1026,972,84.28,88.14,80.54,"17.0005383,81.8040345",53604,32901,20703
"397","Rajapalayam",33,"TAMIL NADU",24,158,64624,65495,9,253,5133,103172,54622,48550,1013,956,86.25,92.18,80.43,"9.4653377,77.5275463",11024,6514,4510
"398","Rajarhat Gopalpur",19,"WEST BENGAL",11,424,205560,199431,365,123,16734,337188,175680,161508,970,964,90.91,93.34,88.4,"22.6321975,88.4540911",73182,42023,31159
"399","Rajkot",24,"GUJARAT",9,156,675731,611264,98,364,59702,1026040,559369,466671,905,828,88.82,92.67,84.61,"22.3038945,70.8021599",148048,78946,69102
"400","Rajnandgaon",22,"CHHATTISGARH",9,236,81873,81249,237,475,9067,127042,68134,58908,992,943,87.95,94.29,81.61,"21.0971034,81.0302222",19640,11324,8316
"401","Rajpur Sonarpur",19,"WEST BENGAL",17,429,215983,207823,350,106,15402,357154,188374,168780,962,952,91.06,94.28,87.71,"22.4490894,88.3914731",68707,40399,28308
"402","Ramagundam",28,"ANDHRA PRADESH",3,339,116920,112712,197,446,8021,160646,89722,70924,964,897,75.54,83.1,67.75,"18.7595503,79.4816378",27209,17266,9943
"403","Rampur",9,"UTTAR PRADESH",5,401,169826,155422,380,137,18209,174508,95157,79351,915,923,60.74,63.4,57.83,"25.4842209,82.5916032",30319,16005,14314
"404","Ranchi",20,"JHARKHAND",19,50,559031,514409,63,311,57907,841652,459317,382335,920,899,88.49,92.87,83.75,"23.3440997,85.309562",200849,120922,79927
"405","Ranibennur",29,"KARNATAKA",10,43,53933,52432,44,289,5590,85298,43234,42064,972,934,89.98,90.16,89.8,"14.6113428,75.6382657",9747,6122,3625
"406","Raniganj",19,"WEST BENGAL",9,155,67150,61474,148,394,7074,89293,50250,39043,915,912,78.47,84.61,71.77,"23.6290575,87.0923906",9719,6225,3494
"407","Ratlam",23,"MADHYA PRADESH",17,361,135007,129803,328,89,13633,207742,111921,95821,961,922,87.88,93.09,82.48,"23.3341696,75.0376325",36589,20861,15728
"408","Raurkela Industrial Township",21,"ORISSA",5,314,109823,100589,261,25,9582,164546,90631,73915,916,886,86.6,91.54,81.22,"22.1993143,84.8620054",22887,12544,10343
"409","Raurkela Town",21,"ORISSA",5,364,144949,128268,331,95,13753,214744,119761,94983,885,899,87.95,92.37,82.94,"22.260423,84.8535844",38314,22541,15773
"410","Rewa",23,"MADHYA PRADESH",13,343,124634,110788,294,63,11103,185291,103599,81692,889,846,87.74,92.91,81.95,"24.5372927,81.30418",41109,25406,15703
"411","Rewari",6,"HARYANA",17,185,74689,66175,173,447,7028,110205,61933,48272,886,785,88.25,94.22,81.61,"28.1927631,76.6239423",22539,12960,9579
"412","Rishra",19,"WEST BENGAL",12,133,66767,57818,41,292,5415,100581,56155,44426,866,900,88.89,92.43,84.78,"22.7244023,88.3287896",14585,9452,5133
"413","Robertson Pet",29,"KARNATAKA",27,201,72378,74050,104,327,6703,119258,61304,57954,1023,1013,89.6,93.23,86.05,"12.9551189,78.2698622",13400,7030,6370
"414","Rohtak",6,"HARYANA",14,416,197754,175379,387,158,18004,279509,155679,123830,887,793,84.08,88.94,78.68,"28.8955152,76.606611",65881,35890,29991
"415","Roorkee",5,"UTTARAKHAND",13,105,63508,54680,46,307,5259,96674,53928,42746,861,830,90.7,94.33,86.49,"29.8542626,77.8880002",30594,16630,13964
"416","Rudrapur",5,"UTTARAKHAND",12,186,74276,66608,252,8,9385,88700,51407,37293,897,907,73.21,80.41,65.17,"28.9875082,79.4141214",14678,8208,6470
"417","S.A.S. Nagar",3,"PUNJAB",18,199,76441,69663,97,350,6180,123930,66100,57830,911,886,93.22,95.15,91.1,"30.6496486,76.7567368",57323,30110,27213
"418","Sagar",23,"MADHYA PRADESH",10,365,142655,130702,354,110,15446,217632,119068,98564,916,924,90.23,94.55,85.52,"23.838805,78.7378068",39717,23428,16289
"419","Saharanpur",9,"UTTAR PRADESH",1,476,371858,331487,469,234,41477,479218,265417,213801,891,882,77.94,81.71,73.72,"29.967079,77.5510172",80749,42772,37977
"420","Saharsa",10,"BIHAR",12,224,82589,72586,297,56,11768,101425,58689,42736,879,918,77.66,84.11,70.27,"25.8834961,86.6006249",18307,13209,5098
"421","Salem",33,"TAMIL NADU",7,480,418337,412701,447,207,35766,642662,341725,300937,987,955,84.8,89.72,79.84,"11.664325,78.1460142",93297,54325,38972
"422","Sambalpur",21,"ORISSA",3,278,94627,88756,230,484,8698,141329,76545,64784,938,882,85.74,90.3,80.92,"21.4668716,83.9811665",26095,16194,9901
"423","Sambhal",9,"UTTAR PRADESH",4,326,116008,105326,367,127,16577,92608,51382,41226,908,936,49.51,52.27,46.45,"28.5903614,78.5717631",10580,5780,4800
"424","Sangli Miraj Kupwad",27,"MAHARASHTRA",35,446,255270,247427,420,181,24012,397395,212703,184692,969,872,88.08,93.39,82.67,"16.8541887,74.6049061",60752,34112,26640
"425","Santipur",19,"WEST BENGAL",10,212,77044,74730,87,322,6410,113028,60420,52608,970,976,81.43,85.73,77,"23.2645399,88.4380966",7213,4725,2488
"426","Sasaram",10,"BIHAR",32,204,77687,69709,246,5,9174,105378,58900,46478,897,900,82.31,87.26,76.78,"24.949036,84.0314295",18844,13181,5663
"427","Satara",27,"MAHARASHTRA",31,119,61075,59004,26,281,5190,101320,53241,48079,966,890,92.91,96.38,89.34,"17.6804639,74.018261",22292,12269,10023
"428","Satna",23,"MADHYA PRADESH",12,370,147924,132324,352,113,14835,214468,120464,94004,895,873,86.33,92,80.01,"24.6005075,80.8322428",37695,23396,14299
"429","Sawai Madhopur",8,"RAJASTHAN",10,123,63223,57775,154,414,7116,85472,50438,35034,914,871,80.85,91.62,69.16,"26.0377772,76.3521514",13480,8980,4500
"430","Secunderabad",28,"ANDHRA PRADESH",5,318,111664,102034,254,2,9689,170148,92956,77192,914,958,87.75,91.54,83.59,"17.4399295,78.4982741",42492,23836,18656
"431","Sehore",23,"MADHYA PRADESH",28,58,56284,52534,83,335,6116,82066,44937,37129,933,907,85.52,90.71,79.99,"23.205012,77.0850781",13887,8074,5813
"432","Seoni",23,"MADHYA PRADESH",39,17,52354,50023,4,257,4946,83832,44862,38970,955,905,91.16,95.68,86.45,"22.0868691,79.5434841",16335,9574,6761
"433","Serampore",19,"WEST BENGAL",12,277,94514,88825,81,320,6270,153460,81592,71868,940,958,89.99,92.75,87.05,"22.748331,88.3385053",30060,17706,12354
"434","Shahjahanpur",9,"UTTAR PRADESH",21,403,173133,154842,375,136,17186,200804,112011,88793,894,885,68.92,72.87,64.5,"27.8295801,79.8296743",33510,18302,15208
"435","Shamli",9,"UTTAR PRADESH",2,48,57236,49997,116,386,6090,76650,43469,33181,874,798,81.97,87.64,75.57,"29.4507575,77.3152116",13343,7245,6098
"436","Shikohabad",9,"UTTAR PRADESH",16,49,57017,50283,85,357,5850,77060,43030,34030,882,823,81.68,86.21,76.59,"27.1061756,78.5881674",15351,9119,6232
"437","Shillong",17,"MEGHALAYA",6,191,70028,72979,120,359,6672,119313,59420,59893,1042,937,92.34,94.46,90.33,"25.5714,91.8848",25113,12466,12647
"438","Shimla",2,"HIMACHAL PRADESH",11,252,93364,76394,114,365,6425,147799,82486,65313,818,890,94.67,95.75,93.35,"31.1048145,77.1734033",43353,23822,19531
"439","Shimoga",29,"KARNATAKA",14,400,161978,160450,351,105,15496,255971,133191,122780,991,961,88.02,91.32,84.7,"13.9299299,75.568101",37463,21835,15628
"440","Shivpuri",23,"MADHYA PRADESH",6,270,95227,84745,281,44,10608,124641,72107,52534,890,879,79.24,86.72,70.86,"25.4357869,77.665066",22320,13796,8524
"441","Sikar",8,"RAJASTHAN",13,345,123156,114423,355,117,14953,158413,91403,67010,929,868,77.13,86.29,67.37,"27.6094,75.139911",20786,13799,6987
"442","Silchar",18,"ASSAM",17,255,86812,85897,159,406,7490,144255,74082,70173,989,939,91.74,93.97,89.5,"24.8332708,92.7789054",22274,12716,9558
"443","Siliguri",19,"WEST BENGAL",99,451,261218,248491,410,169,23227,394366,209792,184574,951,928,85.46,88.82,81.94,"26.7271012,88.3952861",65003,38470,26533
"444","Singrauli",23,"MADHYA PRADESH",46,325,117276,103019,336,97,14131,147527,87870,59657,878,915,77.35,86.28,67.11,"24.1992101,82.6645469",18047,11646,6401
"445","Sirsa",6,"HARYANA",11,276,96806,86476,259,30,9000,135435,75796,59639,893,806,83.03,88.5,76.98,"29.5335931,75.0177029",24453,13473,10980
"446","Sitapur",9,"UTTAR PRADESH",23,266,93410,83941,229,485,8658,131995,72197,59798,899,877,83.11,86.42,79.43,"27.5325072,80.8986502",28003,15740,12263
"447","Siwan",10,"BIHAR",16,169,70670,63788,212,467,8192,98898,56152,42746,903,868,84.65,91.71,76.89,"26.2196205,84.3566593",14545,9727,4818
"448","Solapur",27,"MAHARASHTRA",30,491,482194,468924,8,258,49738,710180,390335,319845,972,909,83.88,91.31,76.3,"17.6599188,75.9063906",88638,54159,34479
"449","Sonipat",6,"HARYANA",8,368,147933,129120,343,116,13577,215609,121821,93788,873,788,87.56,93.21,81.17,"28.9287735,77.091281",46858,25676,21182
"450","South Dum Dum",19,"WEST BENGAL",11,427,206558,203966,316,72,13166,356092,183454,172638,987,959,92.82,95.14,90.48,"22.6059435,88.3967536",102942,57940,45002
"451","Srikakulam",28,"ANDHRA PRADESH",11,143,62583,63420,24,272,5315,97904,52029,45875,1013,935,85.13,91.44,78.95,"18.4285005,84.0167423",21745,14125,7620
"452","Srinagar",1,"JAMMU & KASHMIR",10,117,631916,560876,147,402,68885,741441,428915,312526,888,869,70.98,77.61,63.52,"34.0836708,74.7972825",135783,75825,59958
"453","Sujangarh",8,"RAJASTHAN",4,14,52078,49450,146,396,6948,64716,37914,26802,950,894,74.55,85.58,63.06,"27.7044756,74.4642861",5284,3664,1620
"454","Sultan Pur Majra",7,"NCT OF DELHI",1,273,95816,85808,295,58,11412,125557,72458,53099,896,889,79.78,87.33,71.37,"28.6958531,77.0805496",7390,4719,2671
"455","Sultanpur",9,"UTTAR PRADESH",48,54,56674,51240,33,288,5291,85656,46736,38920,904,886,88.63,92.18,84.7,"26.2647757,82.0727061",20475,12130,8345
"456","Surat",24,"GUJARAT",25,434,2538243,1923759,424,186,238314,3499228,2082588,1416640,758,813,89.03,92.76,84.05,"21.1702401,72.8310607",278795,160566,118229
"457","Surendranagar Dudhrej",24,"GUJARAT",8,267,92728,85099,232,489,8617,135879,75906,59973,918,863,85.34,91.73,78.41,"22.7201319,71.649536",17558,10540,7018
"458","Suryapet",28,"ANDHRA PRADESH",8,34,52138,53112,477,237,4566,81366,43143,38223,1019,947,84.88,91.18,78.74,"17.1353148,79.6333674",14203,9485,4718
"459","Tadepalligudem",28,"ANDHRA PRADESH",15,25,51176,52401,473,231,4386,78557,40283,38274,1024,941,83.1,86.6,79.71,"16.8138415,81.521241",11527,7258,4269
"460","Tadpatri",28,"ANDHRA PRADESH",22,56,54027,54222,35,279,5512,69948,39781,30167,1004,948,72.17,82.51,61.93,"14.9070274,78.0092703",8618,5762,2856
"461","Tambaram",33,"TAMIL NADU",3,263,90803,86004,175,404,8101,150667,79383,71284,947,1019,93.72,95.81,91.5,"12.9229153,80.1274558",35148,19571,15577
"462","Tenali",28,"ANDHRA PRADESH",17,239,81324,83325,92,328,6410,125275,64968,60307,1025,967,82.63,86.98,78.41,"16.2395313,80.6493396",22433,13780,8653
"463","Thane",27,"MAHARASHTRA",21,274,966293,852579,234,480,88242,1491552,817828,673724,882,900,91.36,94.19,88.14,"19.2183307,72.9780897",241148,129214,111934
"464","Thane",27,"MAHARASHTRA",21,274,966293,852579,234,480,88242,1491552,817828,673724,882,900,91.36,94.19,88.14,"19.2183307,72.9780897",215051,116615,98436
"465","Thanesar",6,"HARYANA",4,222,83655,71307,164,420,7193,119482,67646,51836,852,856,85.73,89.89,80.85,"29.9696148,76.8197522",32979,18192,14787
"466","Thanjavur",33,"TAMIL NADU",19,330,109291,113328,231,473,9003,186643,94696,91947,1037,940,91.48,94.97,88.14,"10.7869994,79.1378274",33652,18483,15169
"467","Thiruvananthapuram",32,"KERALA",14,478,364657,387833,434,191,30463,647479,316614,330865,1064,978,93.72,94.94,92.58,"8.5241391,76.9366376",151257,72759,78498
"468","Thoothukkudi",33,"TAMIL NADU",26,344,118039,119335,286,38,11579,202105,102369,99736,1011,976,94.47,96.42,92.56,"8.7641661,78.1348361",31795,16516,15279
"469","Thrissur",32,"KERALA",7,397,151999,163597,307,60,12299,282338,136694,145644,1076,950,97.24,98.31,96.26,"10.5276416,76.2144349",53535,24392,29143
"470","Tiruchirappalli",33,"TAMIL NADU",13,483,418128,428787,448,208,36515,705492,359975,345517,1025,964,91.32,94.66,88.08,"10.7904833,78.7046725",123329,67987,55342
"471","Tirunelveli",33,"TAMIL NADU",27,442,234643,240195,400,156,21477,391972,201509,190463,1024,954,90.98,94.99,87.08,"8.7139126,77.7566523",59397,33536,25861
"472","Tirupati",28,"ANDHRA PRADESH",23,378,145977,141058,298,59,11774,229730,123449,106281,966,915,87.55,92.74,82.21,"13.6287557,79.4191795",55454,34588,20866
"473","Tiruppur",33,"TAMIL NADU",32,433,227469,217074,403,162,22052,350206,189496,160710,954,957,87.67,92.69,82.41,"11.1085242,77.3410656",33358,18431,14927
"474","Tiruvannamalai",33,"TAMIL NADU",5,194,72351,72332,142,378,7117,106256,55585,50671,1000,960,81.64,85.6,77.7,"12.2252841,79.0746957",16502,9655,6847
"475","Tiruvottiyur",33,"TAMIL NADU",1,348,124852,123207,292,45,11822,197646,103197,94449,987,970,88.21,91.59,84.8,"13.1691914,80.3045793",25781,13493,12288
"476","Titagarh",19,"WEST BENGAL",11,108,63936,54490,19,273,5087,87356,50566,36790,852,888,81.18,86.87,74.47,"22.7382665,88.3737064",5643,3898,1745
"477","Tonk",8,"RAJASTHAN",22,240,84927,80436,285,46,10842,98819,57170,41649,947,883,69.47,78.7,59.85,"26.1620402,75.7894716",11776,7537,4239
"478","Tumkur",29,"KARNATAKA",17,388,155406,150415,337,94,14422,237424,123904,113520,968,947,85.97,88.39,83.47,"13.3709627,76.6412712",42163,25617,16546
"479","Udaipur",8,"RAJASTHAN",32,437,234681,217054,409,171,22014,366598,200051,166547,925,869,90.66,95.56,85.39,"24.585445,73.712479",92090,51475,40615
"480","Udgir",27,"MAHARASHTRA",28,28,54445,49618,94,345,6142,78051,43518,34533,911,886,85.78,91.59,79.43,"18.3942882,77.1126009",9924,6900,3024
"481","Udupi",29,"KARNATAKA",15,139,62031,63319,3,252,4919,108041,54690,53351,1021,917,93.89,96.51,91.35,"13.3408807,74.7421427",22444,11795,10649
"482","Ujjain",23,"MADHYA PRADESH",18,453,265291,249924,428,188,27623,391470,214481,176989,942,921,85.55,91.16,79.62,"23.1793013,75.7849097",72743,41616,31127
"483","Ulhasnagar",27,"MAHARASHTRA",21,449,270373,236564,411,173,23021,408959,227975,180984,875,903,89.21,93.1,84.75,"19.2215115,73.1644628",43561,23087,20474
"484","Uluberia",19,"WEST BENGAL",15,329,114144,108031,306,61,12196,159826,86210,73616,946,939,81.13,85.23,76.82,"22.4744363,88.1000377",11384,7234,4150
"485","Unnao",9,"UTTAR PRADESH",25,268,94080,84601,233,487,8655,134018,73411,60607,899,870,83.72,87.26,79.8,"26.5393449,80.4878195",27220,15670,11550
"486","Uttarpara Kotrung",19,"WEST BENGAL",12,234,82815,79571,31,280,5325,137869,71976,65893,961,916,91.16,93.48,88.75,"22.6768451,88.3385053",35773,20981,14792
"487","Vadodara",24,"GUJARAT",19,243,866701,800002,165,424,72173,1394952,747280,647672,923,856,92.37,95.51,88.99,"22.3071588,73.1812187",279959,153236,126723
"488","Valsad",24,"GUJARAT",24,87,58958,56029,482,245,4490,97687,51447,46240,950,877,92.7,95.56,89.72,"20.5992349,72.9342451",18980,10382,8598
"489","Varanasi",9,"UTTAR PRADESH",66,120,636860,564955,84,341,60419,859379,477807,381572,887,879,80.12,84.11,75.63,"25.3176452,82.9739144",172622,101440,71182
"490","Vasai Virar City",27,"MAHARASHTRA",21,129,649535,571698,117,361,65627,987916,548138,439778,880,915,91.15,94.86,86.9,"19.3919275,72.8397317",129954,70016,59938
"491","Vellore",33,"TAMIL NADU",4,282,91464,94431,225,462,9058,145192,75321,69871,1032,973,86.67,91.68,81.84,"12.9165167,79.1324986",15592,8912,6680
"492","Veraval",24,"GUJARAT",12,217,78161,75535,201,448,8104,106540,59874,46666,966,900,78,86.58,69.21,"20.9158979,70.3628516",10089,6246,3843
"493","Vidisha",23,"MADHYA PRADESH",26,225,81424,74535,245,3,9238,118678,65802,52876,915,913,86.88,92.29,80.98,"23.5251102,77.8081363",22023,13177,8846
"494","Vijayawada",28,"ANDHRA PRADESH",16,31,524918,523322,475,236,45266,789038,411677,377361,997,951,82.59,86.24,78.94,"16.5061743,80.6480153",135425,81146,54279
"495","Visakhapatnam",28,"ANDHRA PRADESH",13,258,875199,855121,170,410,77805,1298896,698959,599937,977,959,82.66,88.02,77.18,"17.6868,83.2185",250549,148824,101725
"496","Vizianagaram",28,"ANDHRA PRADESH",12,338,111596,115937,263,12,9992,169461,89155,80306,1039,952,81.85,88.18,75.8,"18.1066576,83.3955506",30656,19173,11483
"497","Warangal",28,"ANDHRA PRADESH",9,467,310400,309716,426,184,26958,475247,258111,217136,998,948,84.16,91.54,76.79,"17.9689008,79.5940544",109613,69507,40106
"498","Wardha",27,"MAHARASHTRA",8,38,53241,52302,486,247,4615,90091,46752,43339,982,898,94.05,97.19,90.88,"20.745319,78.6021946",19363,10645,8718
"499","Yamunanagar",6,"HARYANA",3,322,115404,101224,283,51,10349,166419,92164,74255,877,824,85.91,89.61,81.71,"30.1290485,77.2673901",29803,14349,15454
"500","Yavatmal",27,"MAHARASHTRA",14,95,58717,57997,29,286,5187,96980,50419,46561,988,880,91.81,95.45,88.17,"20.3887937,78.1204073",13511,7397,6114
